ID X Y Elevation Lon Lat
426 -2248161 2109231 561.41 -122.604477264451 39.1567075983926
427 -2247916 2108553 700.29 -122.599539372682 39.1514977006091
428 -2248071 2109818 477.73 -122.605361450287 39.1619629533643
429 -2247513 2108904 516.79 -122.596148158886 39.1555008249308
430 -2246424 2107705 645.95 -122.580057266062 39.1479020781696
431 -2247025 2109280 465.93 -122.591883002082 39.1599276973509
432 -2245323 2110373 917.34 -122.576299112417 39.1734934788579
433 -2247183 2109922 655.59 -122.595728028268 39.1650436185861
434 -2246487 2109344 612.75 -122.586049647952 39.1618020902938
435 -2245735 2108878 591.03 -122.576104535229 39.1596581985427
436 -2246615 2109898 625.58 -122.58927366399 39.1662374834787
437 -2246873 2110530 824.18 -122.5942093561 39.1710213081585
438 -2245840 2109785 754.63 -122.580207943383 39.1671776773099
439 -2246081 2110620 924.5 -122.585607037445 39.1737445590078
440 -2247482 2111098 758.16 -122.602880217633 39.1743909301804
441 -2260785 2112957 1035.9 -122.75821063687 39.1574410113633
442 -2261113 2113256 1134.19 -122.762861321021 39.1591904687175
443 -2260872 2112340 986.34 -122.757184432758 39.151937063394
444 -2248615 2112114 504.21 -122.618882330101 39.1803090856085
445 -2248156 2112401 529.27 -122.614655306488 39.1839020912517
